Course Title,Provider / University,Category,Difficulty Level,Cost,Duration,Teaching Language
C Programming,D S Malik,General,Intermediate,Free,Self-paced,English
The C Programming Language,Brian W Kernighan Dennis Macalistair Ritchie,General,Intermediate,Free,Self-paced,French
The C Programming Language,Bjarne Stroustrup,Programming,Intermediate,Free,Self-paced,Unknown
Object Oriented Programming With C,E Balagurusamy,Programming,Intermediate,Free,Self-paced,English
The Art Of Computer Programming,Donald Knuth,Programming,Intermediate,Free,Self-paced,English
Programming Python,Mark Lutz,General,Beginner,Free,Self-paced,English
Core Python Programming,R Nageswara Rao,Programming,Beginner,Free,Self-paced,Unknown
Programming In Ansi C,E Balagurusamy,Programming,Intermediate,Free,Self-paced,English
Learning Python,Mark Lutz David Ascher,General,Beginner,Free,Self-paced,English
C Programming,K N King,Programming,Intermediate,Free,Self-paced,English
Programming With Java,E Balagurusamy,Programming,All Levels,Free,Self-paced,English
C Programming Program Design Including Data Structures,D S Malik,General,Intermediate,Free,Self-paced,English
Java Programming,D S Malik,General,All Levels,Free,Self-paced,English
Introduction To C Programming Winter 2010,Computer Science  Engineering,General,Beginner,Free,Self-paced,English
Falcon Programming,Programming Falcon,General,Intermediate,Free,Self-paced,English
Learn Programming With Edualgo,Edualgo Official,General,All Levels,Free,Self-paced,English
Open Ciass Programming,Arya Adhi Nugraha,General,Intermediate,Free,Self-paced,English
Computer Programming Language Selection,Owoyine Joseph,General,Intermediate,Free,Self-paced,English
Small Dive Into C Programming,Paul,General,Intermediate,Free,Self-paced,English
Programming For Designers Comp1400 T2 2010,Morgan Harris,General,Intermediate,Free,Self-paced,English
Gentleman Programming,Alan Applelan Bu,General,All Levels,Free,Self-paced,English
Iwcc Cis 207 Fundamentals Of Web Programming,Justin E Miller,General,Beginner,Free,Self-paced,English
Programming For Everyone,Behic Guven,General,Beginner,Free,Self-paced,English
Devops Course With Ibm Certification,Geeksforgeeks,Programming,Intermediate,$299.98,84 Days,English
Dsa System Design Course The Complete Sde Interview Program,Geeksforgeeks,Programming,Intermediate,$299.98,84 Days,English
Complete Data Analytics With Ai,Geeksforgeeks,Programming,Intermediate,$299.98,84 Days,English
Mern Full Stack Development Course With Ibm Certification,Geeksforgeeks,Programming,Intermediate,$239.98,98 Days,English
Java Backend Development Course With Ibm Certification,Geeksforgeeks,Programming,Intermediate,$299.98,84 Days,English
Complete Machine Learning Data Science Course,Geeksforgeeks,Programming,Intermediate,$79.98,84 Days,English
Data Structures And Algorithms Dsa Course Self Paced,Geeksforgeeks,Programming,Intermediate,$49.98,56 Days,English
System Design Course Low Level To High Level Self Paced,Geeksforgeeks,Programming,Intermediate,$79.98,56 Days,English
C Programming Course Self Paced,Geeksforgeeks,Programming,Intermediate,$15.98,56 Days,English
Java Programming Course Self Paced,Geeksforgeeks,Programming,Intermediate,$15.98,56 Days,English
Python Programming Course Self Paced,Geeksforgeeks,Programming,Beginner,$15.98,56 Days,English
Javascript Programming Course Self Paced,Geeksforgeeks,Programming,Intermediate,$15.98,56 Days,English
Ai Coding,Coursera,Programming,Intermediate,Varies,Self-paced,English
Data Analytics With Ai,Coursera,Programming,Intermediate,Varies,Self-paced,English
Learn Javascript,Codecademy,Programming,Beginner,Free,15 Hours,English
Data And Programming Foundations For Ai,Codecademy,Programming,Beginner,Needs Paid Subscription,39 Hours,English
Learn Python 3,Codecademy,Programming,Beginner,Needs Paid Subscription,24 Hours,English
Learn Java,Codecademy,Programming,Beginner,Free,17 Hours,English
